1, Konrad Geßner, p1283, , Heinrich Bullinger [Antistes], p495
294, Ambrosius Blarer (Blaurer), p8055, 7. Oktober 1548, Heinrich Bullinger [Antistes], p495
295, Nikolaus Müller (gen. Maier), p8122, 8. Oktober 1548, Heinrich Bullinger [Antistes], p495
296, Christian Hochholzer, p1553, 9. Oktober 1548, Heinrich Bullinger [Antistes], p495
297, Thomas Blarer (Blaurer), p8178, 11. Oktober 1548, Heinrich Bullinger [Antistes], p495
298, Jakob Fehr, p1120, 12. Oktober 1548, Heinrich Bullinger [Antistes], p495
299, Sebastian Schertlin, p2916, 12. Oktober 1548, Heinrich Bullinger [Antistes], p495
300, Ambrosius Blarer (Blaurer), p8055, 13. Oktober 1548, Heinrich Bullinger [Antistes], p495
301, Heinrich Bullinger [Antistes], p495, 13. Oktober 1548, Oswald Myconius (Geißhüsler), p8418
302, Hans-Jakob Adlischwyler, p8036, 14. Oktober 1548, Heinrich Bullinger [Antistes], p495
303, Heinrich Bullinger [Antistes], p495, 15. Oktober 1548, Johannes Calvin, p540
304, Joachim Vadian (von Watt), p8049, 15. Oktober 1548, Heinrich Bullinger [Antistes], p495
305, Joachim Vadian (von Watt), p8049, 15. Oktober 1548, Heinrich Bullinger [Antistes], p495
306, Joachim Vadian (von Watt), p8049, 15. Oktober 1548, Heinrich Bullinger [Antistes], p495
307, , , , , 
308, Johannes Haller d.J., p8018, 17. Oktober 1548, Heinrich Bullinger [Antistes], p495
309, Matthias Erb, p1010, 18. Oktober 1548, Heinrich Bullinger [Antistes], p495
310, Heinrich Bullinger [Antistes], p495, 19. Oktober 1548, Agostino Mainardi, p2019
311, Heinrich Bullinger [Antistes], p495, 20. Oktober 1548, Ambrosius Blarer (Blaurer), p8055
312, Ambrosius Blarer (Blaurer), p8055, 21. Oktober 1548, Heinrich Bullinger [Antistes], p495
313, Ambrosius Blarer (Blaurer), p8055, 21. Oktober 1548, Heinrich Bullinger [Antistes], p495
314, Heinrich Bullinger [Antistes], p495, 24. Oktober 1548, Oswald Myconius (Geißhüsler), p8418
315, Johannes Haller d.J., p8018, 24. Oktober 1548, Heinrich Bullinger [Antistes], p495
316, Johannes Haller d.J., p8018, 24. Oktober 1548, Heinrich Bullinger [Antistes], p495
317, Heinrich Bullinger [Antistes], p495, 25. Oktober 1548, , 
318, Johannes Gast, p1278, 25. Oktober 1548, Heinrich Bullinger [Antistes], p495
319, Ambrosius Blarer (Blaurer), p8055, 26. Oktober 1548, Heinrich Bullinger [Antistes], p495
320, Heinrich Bullinger [Antistes], p495, 26. Oktober 1548, Johannes Haller d.J., p8018
321, Oswald Myconius (Geißhüsler), p8418, 26. Oktober 1548, Heinrich Bullinger [Antistes], p495
322, Ambrosius Blarer (Blaurer), p8055, 27. Oktober 1548, Heinrich Bullinger [Antistes], p495
323, Oswald Myconius (Geißhüsler), p8418, 27. Oktober 1548, Heinrich Bullinger [Antistes], p495
324, Georg Frölich (Laetus), p8354, 28. Oktober 1548, Heinrich Bullinger [Antistes], p495
325, John Burcher, p505, 29. Oktober 1548, Heinrich Bullinger [Antistes], p495
326, Johannes Haller d.J., p8018, 29. Oktober 1548, Heinrich Bullinger [Antistes], p495
327, John Hooper, p1560, 29. Oktober 1548, Heinrich Bullinger [Antistes], p495
328, Owen Oglethorpe, p2378, 30. Oktober 1548, Heinrich Bullinger [Antistes], p495
329, Eberhard von Rümlang, p3700, 30. Oktober 1548, Heinrich Bullinger [Antistes], p495
330, Joachim Vadian (von Watt), p8049, 30. Oktober 1548, Heinrich Bullinger [Antistes], p495
331, , , , Heinrich Bullinger [Antistes], p495
332, Heinrich Bullinger [Antistes], p495, November 1548, Johannes Calvin, p540
333, Heinrich Bullinger [Antistes], p495, 1. November 1548, Oswald Myconius (Geißhüsler), p8418
334, Heinrich von Ulm d.J., p8290, 1. November 1548, Heinrich Bullinger [Antistes], p495
335, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 3. November 1548, Heinrich Bullinger [Antistes], p495
336, Sebastian Schertlin, p2916, 4. November 1548, Heinrich Bullinger [Antistes], p495
337, Joachim Vadian (von Watt), p8049, 5. November 1548, Heinrich Bullinger [Antistes], p495
338, Christian Hochholzer, p1553, 7. November 1548, Heinrich Bullinger [Antistes], p495
339, Heinrich Linggi (Linki Laevinus), p8090, 7. November 1548, Heinrich Bullinger [Antistes], p495
340, Johannes Haller d.J., p8018, 10. November 1548, Heinrich Bullinger [Antistes], p495
341, , , 8. November 1548, Heinrich Bullinger [Antistes], p495
342, Heinrich Bullinger [Antistes], p495, 11. November 1548, , 
343, Joachim Vadian (von Watt), p8049, 14. November 1548, Heinrich Bullinger [Antistes], p495
344, Ambrosius Blarer (Blaurer), p8055, 16. November 1548, Heinrich Bullinger [Antistes], p495
345, Martin Borrhaus (Cellarius), p8298, 18. November 1548, Heinrich Bullinger [Antistes], p495
346, Ambrosius Blarer (Blaurer), p8055, 20. November 1548, Heinrich Bullinger [Antistes], p495
347, , , 8. November 1548, , 
348, Ambrosius Blarer (Blaurer), p8055, 20. November 1548, Heinrich Bullinger [Antistes], p495
349, Oswald Myconius (Geißhüsler), p8418, 22. November 1548, Heinrich Bullinger [Antistes], p495
350, Ambrosius Blarer (Blaurer), p8055, 25. November 1548, Heinrich Bullinger [Antistes], p495
351, Heinrich Bullinger [Antistes], p495, 25. November 1548, Johannes Haller d.J., p8018
352, Hartmann Hamberger, p1455, 27. November 1548, Heinrich Bullinger [Antistes], p495
353, Johannes (Hans) von Ulm, p20172, 27. November 1548, Heinrich Bullinger [Antistes], p495
354, Heinrich Bullinger [Antistes], p495, , Oswald Myconius (Geißhüsler), p8418
355, Johannes Gast, p1278, 28. November 1548, Heinrich Bullinger [Antistes], p495
356, Georg Frölich (Laetus), p8354, 29. November 1548, Heinrich Bullinger [Antistes], p495
357, Fridolin Brunner (Fonteius), p8303, 3. Dezember 1549, Heinrich Bullinger [Antistes], p495
358, Ludwig Lavater, p1884, 4. Dezember 1548, Heinrich Bullinger [Antistes], p495
359, Heinrich Bullinger [Antistes], p495, 6. Dezember 1548, Johannes Calvin, p540
360, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 6. Dezember 1548, Heinrich Bullinger [Antistes], p495
361, Ludwig Lavater, p1884, 8. Dezember 1548, Heinrich Bullinger [Antistes], p495
362, Oswald Myconius (Geißhüsler), p8418, 8. Dezember 1548, Heinrich Bullinger [Antistes], p495
363, Guillaume Farel, p1049, 10. Dezember 1548, Heinrich Bullinger [Antistes], p495
364, Johannes Gast, p1278, 10. Dezember 1548, Heinrich Bullinger [Antistes], p495
365, Agostino Mainardi, p2019, 10. Dezember 1548, Heinrich Bullinger [Antistes], p495
366, Thomas Naogeorg (Kirchmayer Hecalius), p8124, 11. Dezember 1548, Heinrich Bullinger [Antistes], p495
367, Johannes Haller d.J., p8018, 13. Dezember 1548, Heinrich Bullinger [Antistes], p495
368, Johannes Haller d.J., p8018, , Heinrich Bullinger [Antistes], p495
369, Hans Zehender, p4055, 14. Dezember 1548, Heinrich Bullinger [Antistes], p495
370, Johannes Haller d.J., p8018, 15. Dezember 1548, Heinrich Bullinger [Antistes], p495
371, Ludwig Zehender, p4060, 17. Dezember 1548, Heinrich Bullinger [Antistes], p495
372, , , 17. Dezember 1548, , 
373, Georg Frölich (Laetus), p8354, 18. Dezember 1548, Heinrich Bullinger [Antistes], p495
374, Oswald Myconius (Geißhüsler), p8418, 20. Dezember 1548, Heinrich Bullinger [Antistes], p495
375, Sebastian Schertlin, p2916, 21. Dezember 1548, Heinrich Bullinger [Antistes], p495
376, Joachim Vadian (von Watt), p8049, 21. Dezember 1548, Heinrich Bullinger [Antistes], p495
377, Johannes Haab, p1419, 22. Dezember 1548, Heinrich Bullinger [Antistes], p495
378, Johannes Haller d.J., p8018, 22. Dezember 1548, Heinrich Bullinger [Antistes], p495
379, Oswald Myconius (Geißhüsler), p8418, 25. Dezember 1548, Heinrich Bullinger [Antistes], p495
380, Joachim Vadian (von Watt), p8049, 26. Dezember 1548, Heinrich Bullinger [Antistes], p495
381, Ambrosius Blarer (Blaurer), p8055, 27. Dezember 1548, Heinrich Bullinger [Antistes], p495
382, Johannes Haller d.J., p8018, 28. Dezember 1548, Heinrich Bullinger [Antistes], p495
383, Christian Danmatter, p761, 31. Dezember 1548, Heinrich Bullinger [Antistes], p495
384, Bartholomew Traheron (Trehernus), p8107, 31. Dezember 1548, Heinrich Bullinger [Antistes], p495
385, , , , Heinrich Bullinger [Antistes], p495
386, Heinrich Bullinger [Antistes], p495, , , 
387, Heinrich Bullinger [Antistes], p495, , Johannes Haller d.J., p8018
388, John Hooper, p1560, , Heinrich Bullinger [Antistes], p495
389, Nicolaus Mameranus, p5743, , Heinrich Bullinger [Antistes], p495
390, Oswald Myconius (Geißhüsler), p8418, , Heinrich Bullinger [Antistes], p495
391, Lelio Sozzini (Socinus), p8101, , Heinrich Bullinger [Antistes], p495
392, Lelio Sozzini (Socinus), p8101, , Heinrich Bullinger [Antistes], p495
393, Johannes Calvin, p540, Januar 1549, Heinrich Bullinger [Antistes], p495
394, Ambrosius Blarer (Blaurer), p8055, Januar 1549, Heinrich Bullinger [Antistes], p495
395, Martin Peyer, p2553, 1. Januar 1549, Heinrich Bullinger [Antistes], p495
396, Johannes Haller d.J., p8018, 2. Januar 1549, Heinrich Bullinger [Antistes], p495
397, Heinrich Bullinger [Antistes], p495, 4. Januar 1549, Johannes Stumpf, p3067
398, Johannes Haller d.J., p8018, 8. Januar 1549, Heinrich Bullinger [Antistes], p495
399, Ludwig Lavater, p1884, 10. Januar 1549, Heinrich Bullinger [Antistes], p495
400, Ambrosius Blarer (Blaurer), p8055, 12. Januar 1549, Heinrich Bullinger [Antistes], p495
401, Ambrosius Blarer (Blaurer), p8055, 12. Januar 1549, Heinrich Bullinger [Antistes], p495
402, Johannes Kielmann, p1800, 13. Januar 1549, Heinrich Bullinger [Antistes], p495
403, Johannes Haller d.J., p8018, 14. Januar 1549, Heinrich Bullinger [Antistes], p495
404, Ambrosius Blarer (Blaurer), p8055, 16. Januar 1549, Heinrich Bullinger [Antistes], p495
405, Joachim Vadian (von Watt), p8049, 16. Januar 1549, Heinrich Bullinger [Antistes], p495
406, Heinrich Bullinger [Antistes], p495, 17. Januar 1549, Christian Danmatter, p761
407, Celio Secondo Curione, p714, 20. Januar 1549, Heinrich Bullinger [Antistes], p495
408, Johannes Gast, p1278, 20. Januar 1549, Heinrich Bullinger [Antistes], p495
409, Johannes Hospinian (Wirth), p8384, 20. Januar 1549, Heinrich Bullinger [Antistes], p495
410, Jan Utenhove d.Ä., p8061, 20. Januar 1549, Heinrich Bullinger [Antistes], p495
411, Johannes Calvin, p540, 21. Januar 1549, Heinrich Bullinger [Antistes], p495
412, Johannes Calvin, p540, 21. Januar 1549, Heinrich Bullinger [Antistes], p495
413, John Burcher, p505, 22. Januar 1549, Heinrich Bullinger [Antistes], p495
414, Hans Zehender, p4055, 22. Januar 1549, Heinrich Bullinger [Antistes], p495
415, Heinrich Bullinger [Antistes], p495, 28. Januar 1549, Georg von Württemberg-Mömpelgard (Montbéliard), p8098
416, , , 26. Januar 1549, , 
417, Heinrich Bullinger [Antistes], p495, , Johannes Haller d.J., p8018
418, Johannes Gast, p1278, 26. Januar 1549, Heinrich Bullinger [Antistes], p495
419, John Burcher, p505, 28. Januar 1549, Heinrich Bullinger [Antistes], p495
420, Sebastian Schertlin, p2916, 30. Januar 1549, Heinrich Bullinger [Antistes], p495
421, Joachim Vadian (von Watt), p8049, , Heinrich Bullinger [Antistes], p495
422, Sebastian Schertlin, p2916, 1. Februar 1549, Heinrich Bullinger [Antistes], p495
423, Lorenz Meyer (Agricola), p8130, 3. Februar 1549, Heinrich Bullinger [Antistes], p495
424, Joachim Vadian (von Watt), p8049, 4. Februar 1549, Heinrich Bullinger [Antistes], p495
425, Johannes Gast, p1278, 5. Februar 1549, Heinrich Bullinger [Antistes], p495
426, Christian Hochholzer, p1553, 5. Februar 1549, Heinrich Bullinger [Antistes], p495
427, Sebastian Schertlin, p2916, 5. Februar 1549, Heinrich Bullinger [Antistes], p495
428, Johannes Gast, p1278, 6. Februar 1549, Heinrich Bullinger [Antistes], p495
429, Johannes Haller d.J., p8018, 7. Februar 1549, Heinrich Bullinger [Antistes], p495
430, Johannes Haller d.J., p8018, 8. Februar 1549, Heinrich Bullinger [Antistes], p495
431, Johannes Haller d.J., p8018, 10. Februar 1549, Heinrich Bullinger [Antistes], p495
432, Georg Frölich (Laetus), p8354, 13. Februar 1549, Heinrich Bullinger [Antistes], p495
433, Ambrosius Blarer (Blaurer), p8055, 14. Februar 1549, Heinrich Bullinger [Antistes], p495
434, Ambrosius Blarer (Blaurer), p8055, 14. Februar 1549, Heinrich Bullinger [Antistes], p495
435, John Burcher, p505, 15. Februar 1549, Heinrich Bullinger [Antistes], p495
436, Johannes Gast, p1278, 15. Februar 1549, Heinrich Bullinger [Antistes], p495
437, Joachim Vadian (von Watt), p8049, 18. Februar 1549, Heinrich Bullinger [Antistes], p495
438, Georg Frölich (Laetus), p8354, 19. Februar 1549, Heinrich Bullinger [Antistes], p495
439, , , 20. Februar 1549, , 
440, , , 20. Februar 1549, , 
441, Joachim Vadian (von Watt), p8049, 21. Februar 1549, Heinrich Bullinger [Antistes], p495
442, Oswald Myconius (Geißhüsler), p8418, 22. Februar 1549, Heinrich Bullinger [Antistes], p495
443, Ambrosius Blarer (Blaurer), p8055, 25. Februar 1549, Heinrich Bullinger [Antistes], p495
444, Ambrosius Blarer (Blaurer), p8055, 25. Februar 1549, Heinrich Bullinger [Antistes], p495
445, Wolfgang Musculus (Müsli Meuslin), p8417, 26. Februar 1549, Heinrich Bullinger [Antistes], p495
446, Oswald Myconius (Geißhüsler), p8418, 27. Februar 1549, Heinrich Bullinger [Antistes], p495
447, Ambrosius Blarer (Blaurer), p8055, Februar 1549, Heinrich Bullinger [Antistes], p495
448, Heinrich Bullinger [Antistes], p495, 1. März 1549, Rudolf Gwalther (Walter Gualtherus Walthart) d.Ä., p8011
449, Johannes (Hans) von Ulm, p20172, 2. März 1549, Heinrich Bullinger [Antistes], p495
450, Guillaume Farel, p1049, 3. März 1549, Heinrich Bullinger [Antistes], p495
451, Johannes Gast, p1278, , Heinrich Bullinger [Antistes], p495
452, Wolfgang Musculus (Müsli Meuslin), p8417, 5. März 1549, Heinrich Bullinger [Antistes], p495
453, Heinrich Bullinger [Antistes], p495, 7. März 1549, Oswald Myconius (Geißhüsler), p8418
454, Heinrich Bullinger [Antistes], p495, 7. März 1549, Joachim Vadian (von Watt), p8049
455, Johannes Haller d.J., p8018, 7. März 1549, Heinrich Bullinger [Antistes], p495
456, Ambrosius Blarer (Blaurer), p8055, 8. März 1549, Heinrich Bullinger [Antistes], p495
457, Thomas Blarer (Blaurer), p8178, 8. März 1549, Heinrich Bullinger [Antistes], p495
458, John Burcher, p505, 12. März 1549, Heinrich Bullinger [Antistes], p495
459, Johannes Gast, p1278, 12. März 1549, Heinrich Bullinger [Antistes], p495
460, Wolfgang Musculus (Müsli Meuslin), p8417, 12. März 1549, Heinrich Bullinger [Antistes], p495
461, Oswald Myconius (Geißhüsler), p8418, 12. März 1549, Heinrich Bullinger [Antistes], p495
462, Sebastian Schertlin, p2916, 12. März 1549, Heinrich Bullinger [Antistes], p495
463, Ambrosius Blarer (Blaurer), p8055, 13. März 1549, Heinrich Bullinger [Antistes], p495
464, Ambrosius Blarer (Blaurer), p8055, 15. März 1549, Heinrich Bullinger [Antistes], p495
465, Heinrich Bullinger [Antistes], p495, 15. März 1549, Johannes Calvin, p540
466, Heinrich Bullinger [Antistes], p495, 15. März 1549, Johannes Calvin, p540
467, Johannes Haller d.J., p8018, 15. März 1549, Heinrich Bullinger [Antistes], p495
468, Heinrich Bullinger [Antistes], p495, 18. März 1549, Oswald Myconius (Geißhüsler), p8418
469, Johannes Blasius, p396, 19. März 1549, Heinrich Bullinger [Antistes], p495
470, Johannes Travers d.Ä., p6831, 19. März 1549, Heinrich Bullinger [Antistes], p495
471, Ambrosius Blarer (Blaurer), p8055, 20. März 1549, Heinrich Bullinger [Antistes], p495
472, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 20. März 1549, Heinrich Bullinger [Antistes], p495
473, Sebastian Schertlin, p2916, 21. März 1549, Heinrich Bullinger [Antistes], p495
474, Baldassare Altieri, p152, 24. März 1549, Heinrich Bullinger [Antistes], p495
475, Francisco Dryander (de Enzinas), p8032, 25. März 1549, Heinrich Bullinger [Antistes], p495
476, Ambrosius Blarer (Blaurer), p8055, 27. März 1549, Heinrich Bullinger [Antistes], p495
477, John Hooper, p1560, , Heinrich Bullinger [Antistes], p495
478, Heinrich Bullinger [Antistes], p495, 29. März 1549, Oswald Myconius (Geißhüsler), p8418
479, Christophe Richer, p2706, 30. März 1549, Heinrich Bullinger [Antistes], p495
480, John Hooper, p1560, 31. März 1549, Heinrich Bullinger [Antistes], p495
481, Ambrosius Blarer (Blaurer), p8055, 1. April 1549, Heinrich Bullinger [Antistes], p495
482, John Burcher, p505, 1. April 1549, Heinrich Bullinger [Antistes], p495
483, Thomas Leimer (Leymer), p8279, 6. April 1549, Heinrich Bullinger [Antistes], p495
484, Johannes Haller d.J., p8018, 7. April 1549, Heinrich Bullinger [Antistes], p495
485, Johannes Gast, p1278, 8. April 1549, Heinrich Bullinger [Antistes], p495
486, John Hooper, p1560, 8. April 1549, Heinrich Bullinger [Antistes], p495
487, Christian Hochholzer, p1553, 10. April 1549, Heinrich Bullinger [Antistes], p495
488, John Hooper, p1560, 14. April 1549, Heinrich Bullinger [Antistes], p495
489, Joachim Vadian (von Watt), p8049, 14. April 1549, Heinrich Bullinger [Antistes], p495
490, Georg Frölich (Laetus), p8354, 18. April 1549, Heinrich Bullinger [Antistes], p495
491, Joachim Vadian (von Watt), p8049, 19. April 1549, Heinrich Bullinger [Antistes], p495
492, Johannes Haller d.J., p8018, 21. April 1549, Heinrich Bullinger [Antistes], p495
493, Ambrosius Blarer (Blaurer), p8055, 24. April 1549, Heinrich Bullinger [Antistes], p495
494, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 24. April 1549, Heinrich Bullinger [Antistes], p495
495, Christian Hochholzer, p1553, 24. April 1549, Heinrich Bullinger [Antistes], p495
496, Michael Maler, p2039, 24. April 1549, Heinrich Bullinger [Antistes], p495
497, Matthias Erb, p1010, 25. April 1549, Heinrich Bullinger [Antistes], p495
498, Johannes Hospinian (Wirth), p8384, 25. April 1549, Heinrich Bullinger [Antistes], p495
499, John Hooper, p1560, 26. April 1549, Heinrich Bullinger [Antistes], p495
500, Johannes Blasius, p396, 30. April 1549, Heinrich Bullinger [Antistes], p495
501, Johannes Rudolf Stumpf, p3066, , Heinrich Bullinger [Antistes], p495
502, Florian Susliga, p3100, 2. Mai 1549, Heinrich Bullinger [Antistes], p495
503, Joachim Vadian (von Watt), p8049, 2. Mai 1549, Heinrich Bullinger [Antistes], p495
504, John Hooper, p1560, 3. Mai 1549, Heinrich Bullinger [Antistes], p495
505, Wolfgang Musculus (Müsli Meuslin), p8417, 4. Mai 1549, Heinrich Bullinger [Antistes], p495
506, Ambrosius Blarer (Blaurer), p8055, 5. Mai 1549, Heinrich Bullinger [Antistes], p495
507, Johannes Gast, p1278, 5. Mai 1549, Heinrich Bullinger [Antistes], p495
508, Johannes Haller d.J., p8018, 5. Mai 1549, Heinrich Bullinger [Antistes], p495
509, Johannes Calvin, p540, 7. Mai 1549, Heinrich Bullinger [Antistes], p495
510, Johannes Gast, p1278, 7. Mai 1549, Heinrich Bullinger [Antistes], p495
511, Matthias Hirsgarter (Hirschgartner), p8380, 7. Mai 1549, , 
512, Ambrosius Blarer (Blaurer), p8055, 8. Mai 1549, Heinrich Bullinger [Antistes], p495
513, Ambrosius Blarer (Blaurer), p8055, 10. Mai 1549, Heinrich Bullinger [Antistes], p495
514, Joachim Vadian (von Watt), p8049, 10. Mai 1549, Heinrich Bullinger [Antistes], p495
515, Heinrich Bullinger [Antistes], p495, 11. Mai 1549, Johannes Calvin, p540
516, Heinrich Bullinger [Antistes], p495, 11. Mai 1549, Matthias Erb, p1010
517, Celio Secondo Curione, p714, 11. Mai 1549, Heinrich Bullinger [Antistes], p495
518, Camillo Renato, p2807, 12. Mai 1549, Heinrich Bullinger [Antistes], p495
